"Aasta","Tegevusala","Kivisüsi, tuhat t","Koks, tuhat t","Põlevkivi, tuhat t","Freesturvas, tuhat t","Tükkturvas, tuhat t","Turbabrikett, tuhat t","Puitkütus (väärindamata)*, tuhat tm","Küttepuud, tuhat tm","Puiduhake ja -jäätmed, tuhat tm","Puiduhake, tuhat tm","Puidujäätmed, tuhat tm","Puidubrikett ja -graanulid, tuhat t","Maagaas, mln m³","Vedelgaas, tuhat t","Raske kütteõli, tuhat t","Põlevkiviõli (raske fraktsioon), tuhat t","Kerge kütteõli ja diislikütus, tuhat t","Diislikütus, tuhat t","Autobensiin, tuhat t","Lennukikütus, tuhat t","Põlevkivigaas, mln m³","Biogaas, mln m³","Muu biomass**, tuhat t","Jäätmekütus, tuhat t","Bituumen, tuhat t","Määrdeained, tuhat t","Elektrienergia, GWh","Soojus, GWh"
"2011","Muu tootmine",0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.3,2.9,2.6,0.8,0.0,0.0,0.0,0.0,..,0.0,0.0,34,33
"2011","Elektrienergia-, auru- ja kuumaveevarustus",0.7,0.0,14390.8,149.0,5.8,0.0,1763.0,6.0,1757.0,1588.0,169.1,0.6,295.7,0.0,0.7,44.7,8.2,2.1,1.3,0.0,187.0,5.8,2.0,..,0.0,0.2,1339,107
"2011","Veevarustus ja kanalisatsioon",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.8,0.8,0.4,0.0,0.0,1.8,0.0,..,0.0,0.0,68,16
"2011","Jäätmetöötlus",0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.4,1.0,0.0,1.0,0.0,2.1,0.0,0.2,0.0,5.6,5.6,0.4,0.0,0.0,0.0,2.6,..,0.0,0.0,16,23
"2011","Ehitus",0.1,0.0,0.0,0.0,0.0,0.2,1.0,0.6,0.4,0.2,0.2,0.1,6.4,0.1,0.0,2.2,61.0,53.9,11.9,0.0,0.0,0.0,0.0,..,38.5,0.4,73,36
"2011","Hulgi- ja jaekaubandus",0.5,0.0,0.0,0.0,0.0,0.1,8.8,5.7,3.1,0.0,3.0,0.6,13.7,0.2,0.0,0.1,25.8,23.1,12.1,0.0,0.0,0.0,0.0,..,0.0,0.1,660,286
"2011","Maismaaveondus",0.2,0.0,0.0,0.0,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.1,1.2,2.3,0.0,0.1,218.3,200.6,5.3,0.0,0.0,0.0,0.0,..,0.0,0.6,48,24
"2011","Veetransport",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,4.8,0.1,0.0,0.0,0.0,0.0,..,0.0,0.3,4,0
"2011","Õhutansport",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,..,0.0,0.0,0,1
"2011","Laondus, posti- ja kulleriteenistus",0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.3,0.1,0.0,0.1,0.1,57.7,0.1,0.0,0.0,20.6,16.1,3.6,0.0,0.0,0.0,0.0,..,0.0,0.0,205,526
