Aasta,Maakond,Kogus,Liik,Ühik_x,Ühikuhind,Ühik_y,Kogukulu
2017,..Tallinn,233.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,67516.41
2017,Hiiu maakond,0.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,0.0
2017,Ida-Viru maakond,60.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,17386.2
2017,Jõgeva maakond,6.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,1738.62
2017,Järva maakond,1.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,289.77
2017,Lääne maakond,0.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,0.0
2017,Lääne-Viru maakond,37.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,10721.49
2017,Põlva maakond,6.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,1738.62
2017,Pärnu maakond,9.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,2607.93
2017,Rapla maakond,21.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,6085.17
2017,Saare maakond,2.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,579.54
2017,Tartu maakond,31.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,8982.87
2017,..Tartu linn,19.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,5505.63
2017,Valga maakond,0.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,0.0
2017,Viljandi maakond,8.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,2318.16
2017,Võru maakond,0.0,Maagaas,miljonit m³,289.77,eurot/tuhat m³,0.0
2018,Kogu Eesti,500.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,162725.0
2018,Harju maakond,321.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,104469.45
2018,..Tallinn,265.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,86244.25
2018,Hiiu maakond,0.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,0.0
2018,Ida-Viru maakond,58.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,18876.1
2018,Jõgeva maakond,5.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,1627.25
2018,Järva maakond,1.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,325.45
2018,Lääne maakond,0.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,0.0
2018,Lääne-Viru maakond,36.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,11716.2
2018,Põlva maakond,5.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,1627.25
2018,Pärnu maakond,11.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,3579.95
2018,Rapla maakond,20.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,6509.0
2018,Saare maakond,1.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,325.45
2018,Tartu maakond,34.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,11065.3
2018,..Tartu linn,17.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,5532.65
